year,member,member_id,chamber,party,source,source_url
2026,"Rozia A. Henson, Jr.",H0365,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0365
2026,Phil M. Hernandez,H0366,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0366
2026,Charniele L. Herring,H0208,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0208
2026,M. Keith Hodges,H0238,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0238
2026,Patrick A. Hope,H0219,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0219
2026,Michael J. Jones,H0368,House,D,verified fallback reference,https://house.vga.virginia.gov/members/H0368
2026,Hillary Pugh Kent,H0369,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0369
2026,Karen Keys-Gamarra,H0370,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0370
2026,Terry G. Kilgore,H0056,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0056
2026,Barry D. Knight,H0206,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0206
2026,Paul E. Krizek,H0281,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0281
2026,Amy J. Laufer,H0371,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0371
2026,"James A. ""Jay"" Leftwich",H0262,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0262
2026,Destiny LeVere Bolling,H0372,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0372
2026,Alfonso H. Lopez,H0239,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0239
2026,Michelle Lopes Maldonado,H0340,House,D,verified fallback reference,https://house.vga.virginia.gov/members/H0340
2026,Marty Martinez,H0374,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0374
2026,John Chilton McAuliff,H0395,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0395
2026,Adele Y. McClure,H0375,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0375
2026,Garrett McGuire,H0405,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0405
2026,Ellen H. McLaughlin,H0350,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0350
2026,Joseph P. McNamara,H0308,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0308
2026,Kirk McPike,H0406,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0406
2026,Delores L. McQuinn,H0207,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0207
2026,Leslie Chambers Mehta,H0396,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0396
2026,James W. Morefield,H0224,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0224
2026,Candi Mundon King,H0330,House,D,verified fallback reference,https://house.vga.virginia.gov/members/H0330
2026,May Nivar,H0397,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0397
2026,Delores Oates,H0377,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0377
2026,Israel D. O'Quinn,H0242,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0242
2026,Justin Pence,H0398,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0398
2026,Eric Phillips,H0384,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0384
2026,Kimberly Pope Adams,H0399,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0399
2026,"Marcia S. ""Cia"" Price",H0284,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0284
2026,Sam Rasoul,H0266,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0266
2026,Atoosa R. Reaser,H0380,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0380
2026,David A. Reid,H0301,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0301
2026,Andrew Rice,H0407,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0407
2026,Chris S. Runion,H0321,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0321
2026,Charlie Schmidt,H0402,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0402
2026,Don Scott,H0322,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0322
2026,Phillip A. Scott,H0342,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0342
2026,Holly M. Seibold,H0351,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0351
2026,Briana D. Sewell,H0343,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0343
2026,Irene Shin,H0344,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0344
2026,Mark D. Sickles,H0172,House,D,verified fallback reference,https://house.vga.virginia.gov/members/H0172
2026,Marcus B. Simon,H0264,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0264
2026,Shelly A. Simonds,H0323,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0323
2026,JJ Singh,H0385,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0385
2026,"Richard C. ""Rip"" Sullivan, Jr.",H0269,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0269
2026,Anne Ferrell Tata,H0345,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0345
2026,Joshua E. Thomas,H0382,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0382
2026,Virgil Thornton,H0400,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0400
2026,Luke E. Torian,H0227,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0227
2026,Kathy K.L. Tran,H0305,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0305
2026,"H. Otto Wachsmann, Jr.",H0347,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0347
2026,Wendell S. Walker,H0325,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0325
2026,Jeion A. Ward,H0173,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0173
2026,R. Lee Ware,H0124,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0124
2026,Vivian E. Watts,H0108,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0108
2026,Michael J. Webert,H0247,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0247
2026,Madison Whittle,H0401,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0401
