Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
SJ2,Elections,Official LIS subject,Voters and Voting,Elections,CIBillSubjects.csv,Voters and Voting,False,
SJ10,Attorney General,Official LIS subject,Attorney General,,CIBillSubjects.csv,Attorney General,False,
SJ10,Constitutional Amendments,Official LIS subject,Constitutional Amendments,,CIBillSubjects.csv,Constitutional Amendments,False,
SJ10,General Assembly,Official LIS subject,Lieutenant Governor,General Assembly,CIBillSubjects.csv,Lieutenant Governor,False,
SJ11,Constitutional Amendments,Official LIS subject,Constitutional Amendments,,CIBillSubjects.csv,Constitutional Amendments,False,
SJ11,Domestic Relations,Official LIS subject,Marriage,Domestic Relations,CIBillSubjects.csv,Marriage,False,
SJ14,"Commissions, Boards, and Institutions Generally",Official LIS subject,"Commissions, Boards, and Institutions Generally",,CIBillSubjects.csv,"Commissions, Boards, and Institutions Generally",False,
SJ14,Science and Technology,Official LIS subject,Science and Technology,,CIBillSubjects.csv,Science and Technology,False,
SJ14,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
SJ18,"Counties, Cities, and Towns",Official LIS subject,"Counties, Cities, and Towns",,CIBillSubjects.csv,"Counties, Cities, and Towns",False,
SJ18,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
SJ19,Prince William County,Official LIS subject,Prince William County,,CIBillSubjects.csv,Prince William County,False,
SJ19,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
SJ19,Motor Vehicles,Official LIS subject,Pedestrians,Motor Vehicles,CIBillSubjects.csv,Pedestrians,False,
SJ19,Roads,Official LIS subject,Roads,,CIBillSubjects.csv,Roads,False,
SJ20,"Commissions, Boards, and Institutions Generally",Official LIS subject,"Commissions, Boards, and Institutions Generally",,CIBillSubjects.csv,"Commissions, Boards, and Institutions Generally",False,
SJ20,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
SJ20,Educational Institutions,Official LIS subject,Community Colleges,Educational Institutions,CIBillSubjects.csv,Community Colleges,False,
SJ20,Labor and Employment,Official LIS subject,Workforce,Labor and Employment,CIBillSubjects.csv,Workforce,False,
SJ21,Administration of Government,Official LIS subject,Administration of Government,,CIBillSubjects.csv,Administration of Government,False,
SJ21,Joint Legislative Audit and Review Commission (JLARC),Official LIS subject,Joint Legislative Audit and Review Commission (JLARC),,CIBillSubjects.csv,Joint Legislative Audit and Review Commission (JLARC),False,
SJ21,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
SJ22,"Police, State",Official LIS subject,"Police, State",,CIBillSubjects.csv,"Police, State",False,
SJ22,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
SJ22,Taxation,Official LIS subject,Taxation,,CIBillSubjects.csv,Taxation,False,
SJ26,Joint Legislative Audit and Review Commission (JLARC),Official LIS subject,Joint Legislative Audit and Review Commission (JLARC),,CIBillSubjects.csv,Joint Legislative Audit and Review Commission (JLARC),False,
SJ26,Narcotics and Drugs,Official LIS subject,Narcotics and Drugs,,CIBillSubjects.csv,Narcotics and Drugs,False,
SJ26,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
