member_id,MBR_NAME,party,topic_name,topic_vote_events,eligible_topic_events,party_break_events,cross_party_events,cross_party_pct
H0267,"Robert S. Bloxom, Jr.",R,Transportation,108,108,9,8,7.4074074074074066
H0335,Mike A. Cherry,R,Local Government,108,108,11,8,7.4074074074074066
H0056,Terry G. Kilgore,R,Courts and Civil Law,115,113,10,8,7.079646017699115
H0347,"H. Otto Wachsmann, Jr.",R,Elections and Voting,149,147,12,8,5.442176870748299
H0348,Wren M. Williams,R,Transportation,166,147,16,8,5.442176870748299
H0056,Terry G. Kilgore,R,Criminal Justice,202,200,12,8,4.0
H0384,Eric Phillips,R,Education,206,201,15,8,3.9800995024875623
H0247,Michael J. Webert,R,Labor and Employment,223,212,15,8,3.7735849056603774
H0242,Israel D. O'Quinn,R,Education,216,214,9,8,3.7383177570093453
H0224,James W. Morefield,R,Education,250,245,9,8,3.2653061224489797
H0238,M. Keith Hodges,R,Education,263,256,12,8,3.125
H0247,Michael J. Webert,R,Unclassified,522,495,36,8,1.6161616161616161
H0247,Michael J. Webert,R,Data Centers,19,19,7,7,36.84210526315789
H0267,"Robert S. Bloxom, Jr.",R,Agriculture and Food,46,45,7,7,15.555555555555555
H0344,Irene Shin,D,Taxes and Revenue,52,48,7,7,14.583333333333334
H0405,Garrett McGuire,D,Taxes and Revenue,52,50,8,7,14.000000000000002
H0402,Charlie Schmidt,D,Taxes and Revenue,51,51,7,7,13.725490196078432
H0349,Jackie H. Glass,D,Taxes and Revenue,52,52,7,7,13.461538461538462
H0308,Joseph P. McNamara,R,Environment and Conservation,53,53,7,7,13.20754716981132
H0308,Joseph P. McNamara,R,Insurance,59,53,10,7,13.20754716981132
H0351,Holly M. Seibold,D,Taxes and Revenue,57,54,11,7,12.962962962962962
H0356,Rae Cousins,D,Taxes and Revenue,55,55,7,7,12.727272727272727
H0305,Kathy K.L. Tran,D,Taxes and Revenue,57,57,8,7,12.280701754385964
H0238,M. Keith Hodges,R,Environment and Conservation,59,59,7,7,11.864406779661017
H0267,"Robert S. Bloxom, Jr.",R,Public Safety,61,60,7,7,11.666666666666666
H0224,James W. Morefield,R,Insurance,68,68,8,7,10.294117647058822
H0348,Wren M. Williams,R,Behavioral Health,79,71,7,7,9.859154929577464
H0267,"Robert S. Bloxom, Jr.",R,Courts and Civil Law,77,77,7,7,9.090909090909092
H0056,Terry G. Kilgore,R,Business and Commerce,88,87,9,7,8.045977011494253
H0242,Israel D. O'Quinn,R,Housing,93,93,7,7,7.526881720430108
H0333,Jason S. Ballard,R,Housing,98,94,10,7,7.446808510638298
H0124,R. Lee Ware,R,Taxes and Revenue,102,98,9,7,7.142857142857142
H0253,Terry L. Austin,R,Elections and Voting,102,99,8,7,7.07070707070707
H0401,Madison Whittle,R,Local Government,106,103,13,7,6.796116504854369
H0314,Joshua G. Cole,D,Transportation,105,104,7,7,6.730769230769231
H0266,Sam Rasoul,D,Transportation,109,105,7,7,6.666666666666667
H0238,M. Keith Hodges,R,Housing,111,109,11,7,6.422018348623854
H0242,Israel D. O'Quinn,R,Local Government,114,113,9,7,6.1946902654867255
H0238,M. Keith Hodges,R,Energy and Utilities,177,175,9,7,4.0
H0253,Terry L. Austin,R,Criminal Justice,176,176,9,7,3.977272727272727
H0253,Terry L. Austin,R,Labor and Employment,211,209,10,7,3.349282296650718
H0348,Wren M. Williams,R,Labor and Employment,224,211,13,7,3.3175355450236967
H0347,"H. Otto Wachsmann, Jr.",R,Education,214,213,13,7,3.286384976525822
H0242,Israel D. O'Quinn,R,Energy and Utilities,225,221,16,7,3.167420814479638
H0056,Terry G. Kilgore,R,Labor and Employment,229,227,8,7,3.0837004405286343
H0402,Charlie Schmidt,D,Criminal Justice,234,230,7,7,3.0434782608695654
H0362,"Thomas A. Garrett, Jr.",R,Education,323,296,43,7,2.364864864864865
H0377,Delores Oates,R,Unclassified,386,380,25,7,1.8421052631578945
H0390,Mitchell Cornett,R,Unclassified,444,439,25,7,1.5945330296127564
H0357,Will Davis,R,Unclassified,480,476,13,7,1.4705882352941175
H0328,Scott A. Wyatt,R,Unclassified,511,506,19,7,1.383399209486166
H0267,"Robert S. Bloxom, Jr.",R,Marriage and Domestic Relations,18,18,6,6,33.33333333333333
H0238,M. Keith Hodges,R,Technology and Data,24,24,6,6,25.0
H0224,James W. Morefield,R,Technology and Data,32,29,6,6,20.689655172413794
H0253,Terry L. Austin,R,Technology and Data,32,31,7,6,19.35483870967742
H0267,"Robert S. Bloxom, Jr.",R,Constitutional Amendments,31,31,6,6,19.35483870967742
H0395,John Chilton McAuliff,D,Family and Children,48,42,6,6,14.285714285714285
H0267,"Robert S. Bloxom, Jr.",R,Higher Education,43,43,6,6,13.953488372093023
H0231,Tony O. Wilt,R,Taxes and Revenue,50,50,6,6,12.0
H0386,Jessica L. Anderson,D,Taxes and Revenue,52,51,6,6,11.76470588235294
H0345,Anne Ferrell Tata,R,Behavioral Health,54,54,6,6,11.11111111111111
H0208,Charniele L. Herring,D,Taxes and Revenue,60,59,8,6,10.16949152542373
H0384,Eric Phillips,R,"Study Commissions, Committees, and Reports",66,63,6,6,9.523809523809524
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Courts and Civil Law,70,68,7,6,8.823529411764707
H0329,Bill Wiley,R,Taxes and Revenue,69,69,8,6,8.695652173913043
H0350,Ellen H. McLaughlin,R,Courts and Civil Law,73,69,7,6,8.695652173913043
H0231,Tony O. Wilt,R,Courts and Civil Law,71,71,7,6,8.450704225352112
H0224,James W. Morefield,R,Courts and Civil Law,74,73,6,6,8.21917808219178
H0348,Wren M. Williams,R,Business and Commerce,79,77,7,6,7.792207792207792
H0224,James W. Morefield,R,Business and Commerce,88,86,6,6,6.976744186046512
H0325,Wendell S. Walker,R,Housing,92,90,8,6,6.666666666666667
H0262,"James A. ""Jay"" Leftwich",R,Housing,92,92,11,6,6.521739130434782
H0253,Terry L. Austin,R,Business and Commerce,93,93,9,6,6.451612903225806
H0348,Wren M. Williams,R,Elections and Voting,96,96,11,6,6.25
H0056,Terry G. Kilgore,R,Elections and Voting,99,99,9,6,6.0606060606060606
H0347,"H. Otto Wachsmann, Jr.",R,Transportation,102,102,7,6,5.88235294117647
H0386,Jessica L. Anderson,D,Firearms,108,102,6,6,5.88235294117647
H0357,Will Davis,R,Local Government,106,106,11,6,5.660377358490567
H0357,Will Davis,R,Taxes and Revenue,108,106,8,6,5.660377358490567
H0321,Chris S. Runion,R,Local Government,109,107,10,6,5.607476635514018
H0343,Briana D. Sewell,D,Housing,109,107,7,6,5.607476635514018
H0124,R. Lee Ware,R,Local Government,110,108,10,6,5.555555555555555
H0325,Wendell S. Walker,R,Local Government,110,109,7,6,5.5045871559633035
H0056,Terry G. Kilgore,R,Local Government,113,112,7,6,5.357142857142857
H0354,Katrina Callsen,D,Taxes and Revenue,115,112,9,6,5.357142857142857
H0366,Phil M. Hernandez,D,Taxes and Revenue,116,114,9,6,5.263157894736842
H0308,Joseph P. McNamara,R,Criminal Justice,137,132,7,6,4.545454545454546
H0308,Joseph P. McNamara,R,Local Government,148,142,14,6,4.225352112676056
H0262,"James A. ""Jay"" Leftwich",R,Energy and Utilities,149,149,8,6,4.026845637583892
H0345,Anne Ferrell Tata,R,Energy and Utilities,157,155,9,6,3.870967741935484
H0384,Eric Phillips,R,Labor and Employment,164,161,9,6,3.7267080745341614
H0325,Wendell S. Walker,R,Labor and Employment,169,164,7,6,3.6585365853658534
H0238,M. Keith Hodges,R,Local Government,172,165,8,6,3.6363636363636362
H0401,Madison Whittle,R,Labor and Employment,178,175,13,6,3.428571428571429
H0284,"Marcia S. ""Cia"" Price",D,Criminal Justice,182,180,11,6,3.3333333333333335
H0386,Jessica L. Anderson,D,Criminal Justice,196,191,6,6,3.1413612565445024
H0308,Joseph P. McNamara,R,Education,203,194,10,6,3.0927835051546393
H0395,John Chilton McAuliff,D,Unclassified,427,386,10,6,1.5544041450777202
H0321,Chris S. Runion,R,Unclassified,412,405,24,6,1.4814814814814816
H0349,Jackie H. Glass,D,Unclassified,469,460,11,6,1.3043478260869565
H0343,Briana D. Sewell,D,Unclassified,562,557,14,6,1.0771992818671454
H0262,"James A. ""Jay"" Leftwich",R,Data Centers,15,15,5,5,33.33333333333333
H0124,R. Lee Ware,R,Data Centers,21,21,5,5,23.809523809523807
H0348,Wren M. Williams,R,Technology and Data,23,23,5,5,21.73913043478261
H0335,Mike A. Cherry,R,Constitutional Amendments,30,29,5,5,17.24137931034483
H0406,Kirk McPike,D,Taxes and Revenue,32,31,5,5,16.129032258064516
H0335,Mike A. Cherry,R,Taxes and Revenue,50,50,6,5,10.0
H0345,Anne Ferrell Tata,R,Taxes and Revenue,50,50,6,5,10.0
H0321,Chris S. Runion,R,Environment and Conservation,54,53,5,5,9.433962264150944
H0348,Wren M. Williams,R,Environment and Conservation,58,56,5,5,8.928571428571429
H0333,Jason S. Ballard,R,Taxes and Revenue,59,59,7,5,8.47457627118644
H0335,Mike A. Cherry,R,Business and Commerce,60,60,5,5,8.333333333333332
H0335,Mike A. Cherry,R,Insurance,60,60,5,5,8.333333333333332
H0380,Atoosa R. Reaser,D,Taxes and Revenue,60,60,6,5,8.333333333333332
H0267,"Robert S. Bloxom, Jr.",R,Family and Children,62,61,5,5,8.19672131147541
H0224,James W. Morefield,R,Family and Children,64,63,5,5,7.936507936507936
H0348,Wren M. Williams,R,Public Safety,70,64,6,5,7.8125
H0345,Anne Ferrell Tata,R,Courts and Civil Law,65,65,6,5,7.6923076923076925
H0350,Ellen H. McLaughlin,R,Insurance,70,66,5,5,7.575757575757576
H0321,Chris S. Runion,R,Courts and Civil Law,70,68,6,5,7.352941176470589
H0348,Wren M. Williams,R,"Study Commissions, Committees, and Reports",74,68,8,5,7.352941176470589
H0393,Lily V. Franklin,D,Firearms,71,68,5,5,7.352941176470589
H0308,Joseph P. McNamara,R,Courts and Civil Law,71,69,7,5,7.246376811594203
H0347,"H. Otto Wachsmann, Jr.",R,"Study Commissions, Committees, and Reports",69,69,6,5,7.246376811594203
H0329,Bill Wiley,R,Public Safety,70,70,5,5,7.142857142857142
H0401,Madison Whittle,R,Family and Children,80,76,6,5,6.578947368421052
H0253,Terry L. Austin,R,Courts and Civil Law,78,77,5,5,6.493506493506493
H0224,James W. Morefield,R,"Study Commissions, Committees, and Reports",79,79,5,5,6.329113924050633
H0350,Ellen H. McLaughlin,R,Business and Commerce,86,82,5,5,6.097560975609756
H0267,"Robert S. Bloxom, Jr.",R,Budget and Appropriations,86,85,5,5,5.88235294117647
H0224,James W. Morefield,R,Budget and Appropriations,86,86,5,5,5.813953488372093
H0384,Eric Phillips,R,Housing,88,88,6,5,5.681818181818182
H0124,R. Lee Ware,R,Housing,90,89,6,5,5.617977528089887
H0401,Madison Whittle,R,Housing,90,90,6,5,5.555555555555555
H0348,Wren M. Williams,R,Housing,96,93,14,5,5.376344086021505
H0404,Margaret A. Franklin,D,Taxes and Revenue,103,98,5,5,5.1020408163265305
H0405,Garrett McGuire,D,Housing,104,100,6,5,5.0
H0335,Mike A. Cherry,R,Transportation,103,103,5,5,4.854368932038835
H0403,Gretchen M. Bulova,D,Taxes and Revenue,106,103,5,5,4.854368932038835
H0247,Michael J. Webert,R,Local Government,113,105,16,5,4.761904761904762
H0350,Ellen H. McLaughlin,R,Elections and Voting,113,111,5,5,4.504504504504505
H0266,Sam Rasoul,D,Energy and Utilities,147,146,5,5,3.4246575342465753
H0384,Eric Phillips,R,Energy and Utilities,147,147,9,5,3.4013605442176873
H0124,R. Lee Ware,R,Energy and Utilities,161,159,8,5,3.1446540880503147
H0262,"James A. ""Jay"" Leftwich",R,Labor and Employment,165,164,9,5,3.048780487804878
H0238,M. Keith Hodges,R,Criminal Justice,166,166,9,5,3.0120481927710845
H0308,Joseph P. McNamara,R,Labor and Employment,169,166,8,5,3.0120481927710845
H0383,Eric R. Zehr,R,Criminal Justice,174,170,19,5,2.941176470588235
H0328,Scott A. Wyatt,R,Criminal Justice,171,171,5,5,2.923976608187134
H0328,Scott A. Wyatt,R,Local Government,183,178,8,5,2.8089887640449436
H0345,Anne Ferrell Tata,R,Labor and Employment,184,181,8,5,2.7624309392265194
H0247,Michael J. Webert,R,Criminal Justice,198,184,16,5,2.717391304347826
H0321,Chris S. Runion,R,Education,199,198,10,5,2.525252525252525
H0328,Scott A. Wyatt,R,Transportation,201,201,7,5,2.4875621890547266
H0238,M. Keith Hodges,R,Labor and Employment,216,213,6,5,2.3474178403755865
H0231,Tony O. Wilt,R,Labor and Employment,218,217,5,5,2.3041474654377883
H0253,Terry L. Austin,R,Transportation,219,218,8,5,2.293577981651376
