member_id,MBR_NAME,party,member_status,comparable_sample,directional_votes_2025,directional_votes_2026,eligible_cross_party_votes_2025,eligible_cross_party_votes_2026,cross_party_votes_2025,cross_party_votes_2026,cross_party_vote_change,cross_party_pct_2025,cross_party_pct_2026,cross_party_pct_change,party_breaks_2025,party_breaks_2026,party_break_change,party_break_pct_2025,party_break_pct_2026,party_break_pct_change,MBR_NAME_2025,MBR_NAME_2026,party_2025,party_2026
H0212,Betsy B. Carr,D,Present both years,True,1699.0,2397.0,1690.0,2380.0,7.0,10.0,3.0,0.4142011834319526,0.4201680672268907,0.005966883794938094,12.0,16.0,4.0,0.7062978222483813,0.6675010429703796,-0.038796779278001736,Betsy B. Carr,Betsy B. Carr,D,D
H0208,Charniele L. Herring,D,Present both years,True,1654.0,2371.0,1631.0,2354.0,5.0,7.0,2.0,0.3065603923973022,0.2973661852166525,-0.009194207180649727,11.0,20.0,9.0,0.6650544135429262,0.8435259384226065,0.17847152487968032,Charniele L. Herring,Charniele L. Herring,D,D
H0301,David A. Reid,D,Present both years,True,1435.0,2171.0,1432.0,2163.0,3.0,4.0,1.0,0.2094972067039106,0.184928340268146,-0.024568866435764586,8.0,7.0,-1.0,0.5574912891986062,0.322432058959005,-0.23505923023960124,David A. Reid,David A. Reid,D,D
H0364,Timothy P. Griffin,R,Present both years,True,1200.0,1627.0,1198.0,1622.0,8.0,10.0,2.0,0.667779632721202,0.6165228113440198,-0.05125682137718224,196.0,297.0,101.0,16.333333333333332,18.25445605408728,1.9211227207539494,Timothy P. Griffin,Timothy P. Griffin,R,R
H0371,Amy J. Laufer,D,Present both years,True,1445.0,2203.0,1422.0,2193.0,4.0,5.0,1.0,0.2812939521800281,0.2279981760145918,-0.05329577616543632,13.0,12.0,-1.0,0.8996539792387545,0.5447117566954154,-0.35494222254333907,Amy J. Laufer,Amy J. Laufer,D,D
H0173,Jeion A. Ward,D,Present both years,True,1408.0,2017.0,1396.0,2005.0,3.0,3.0,0.0,0.2148997134670487,0.1496259351620947,-0.06527377830495401,11.0,9.0,-2.0,0.78125,0.4462072384729796,-0.3350427615270204,Jeion A. Ward,Jeion A. Ward,D,D
H0327,Rodney T. Willett,D,Present both years,True,1608.0,2243.0,1601.0,2231.0,4.0,3.0,-1.0,0.2498438475952529,0.1344688480502017,-0.1153749995450512,6.0,6.0,0.0,0.3731343283582089,0.2674988854213107,-0.10563544293689825,Rodney T. Willett,Rodney T. Willett,D,D
H0227,Luke E. Torian,D,Present both years,True,1502.0,2042.0,1497.0,2029.0,7.0,7.0,0.0,0.4676018704074816,0.3449975357318876,-0.122604334675594,10.0,18.0,8.0,0.6657789613848202,0.881488736532811,0.21570977514799083,Luke E. Torian,Luke E. Torian,D,D
H0239,Alfonso H. Lopez,D,Present both years,True,1488.0,2103.0,1468.0,2088.0,5.0,4.0,-1.0,0.3405994550408719,0.1915708812260536,-0.14902857381481832,11.0,9.0,-2.0,0.739247311827957,0.4279600570613409,-0.3112872547666161,Alfonso H. Lopez,Alfonso H. Lopez,D,D
H0360,Michael B. Feggans,D,Present both years,True,1427.0,2240.0,1416.0,2219.0,5.0,4.0,-1.0,0.3531073446327684,0.1802613789995493,-0.17284596563321908,12.0,6.0,-6.0,0.8409250175192713,0.2678571428571428,-0.5730678746621285,Michael B. Feggans,Michael B. Feggans,D,D
H0323,Shelly A. Simonds,D,Present both years,True,1596.0,2384.0,1574.0,2368.0,7.0,6.0,-1.0,0.4447268106734434,0.2533783783783784,-0.19134843229506499,10.0,7.0,-3.0,0.6265664160401002,0.2936241610738255,-0.3329422549662747,Shelly A. Simonds,Shelly A. Simonds,D,D
H0219,Patrick A. Hope,D,Present both years,True,1569.0,2171.0,1563.0,2162.0,6.0,4.0,-2.0,0.3838771593090211,0.185013876040703,-0.19886328326831812,11.0,11.0,0.0,0.7010834926704907,0.5066789497927222,-0.19440454287776854,Patrick A. Hope,Patrick A. Hope,D,D
