Bill_id,topic_name,classification
HJ57,Unclassified,Unclassified
HJ58,Unclassified,Unclassified
HJ59,Unclassified,Unclassified
HJ60,Unclassified,Unclassified
HJ61,Unclassified,Unclassified
HJ62,Unclassified,Unclassified
HJ63,Unclassified,Unclassified
HJ64,Unclassified,Unclassified
HJ65,Unclassified,Unclassified
HJ66,Unclassified,Unclassified
HJ67,Unclassified,Unclassified
HJ68,Unclassified,Unclassified
HJ69,Unclassified,Unclassified
HJ70,Unclassified,Unclassified
HJ71,Unclassified,Unclassified
HJ72,Unclassified,Unclassified
HJ73,Unclassified,Unclassified
HJ74,Unclassified,Unclassified
HJ75,Unclassified,Unclassified
HJ76,Unclassified,Unclassified
HJ77,Unclassified,Unclassified
HJ78,Unclassified,Unclassified
HJ80,Unclassified,Unclassified
HJ81,Unclassified,Unclassified
HJ82,Unclassified,Unclassified
HJ83,Unclassified,Unclassified
HJ84,Unclassified,Unclassified
HJ85,Unclassified,Unclassified
HJ86,Unclassified,Unclassified
HJ87,Unclassified,Unclassified
HJ88,Unclassified,Unclassified
HJ89,Unclassified,Unclassified
HJ90,Unclassified,Unclassified
HJ91,Unclassified,Unclassified
HJ92,Unclassified,Unclassified
HJ93,Unclassified,Unclassified
HJ94,Unclassified,Unclassified
HJ96,Unclassified,Unclassified
HJ97,Unclassified,Unclassified
HJ98,Unclassified,Unclassified
HJ99,Unclassified,Unclassified
HJ100,Unclassified,Unclassified
HJ101,Unclassified,Unclassified
HJ103,Unclassified,Unclassified
HJ105,Unclassified,Unclassified
HJ106,Unclassified,Unclassified
HJ107,Unclassified,Unclassified
HJ108,Unclassified,Unclassified
HJ109,Unclassified,Unclassified
HJ110,Unclassified,Unclassified
HJ111,Unclassified,Unclassified
HJ112,Unclassified,Unclassified
HJ113,Unclassified,Unclassified
HJ114,Unclassified,Unclassified
HJ115,Unclassified,Unclassified
HJ116,Unclassified,Unclassified
HJ117,Unclassified,Unclassified
HJ118,Unclassified,Unclassified
HJ119,Unclassified,Unclassified
HJ120,Unclassified,Unclassified
HJ121,Unclassified,Unclassified
HJ122,Unclassified,Unclassified
HJ123,Unclassified,Unclassified
HJ124,Unclassified,Unclassified
HJ125,Unclassified,Unclassified
