year,member_id,MBR_NAME,party,topic_name,classification,topic_vote_events,yes_votes,no_votes,directional_topic_votes,voting_tendency,yes_pct,no_pct
2026,H0327,Rodney T. Willett,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0365,"Rozia A. Henson, Jr.",D,Administration of Government,Official LIS subject,6,6,0,6,INSUFFICIENT DATA,100.0,0.0
2026,H0266,Sam Rasoul,D,Administration of Government,Official LIS subject,4,3,0,3,INSUFFICIENT DATA,100.0,0.0
2026,H0323,Shelly A. Simonds,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0388,Stacey Annie Carroll,D,Administration of Government,Official LIS subject,6,6,0,6,INSUFFICIENT DATA,100.0,0.0
2026,H0400,Virgil Thornton,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0108,Vivian E. Watts,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0056,Terry G. Kilgore,R,Administration of Government,Official LIS subject,7,5,2,7,INSUFFICIENT DATA,71.42857142857143,28.57142857142857
2026,H0329,Bill Wiley,R,Administration of Government,Official LIS subject,4,2,2,4,INSUFFICIENT DATA,50.0,50.0
2026,H0224,James W. Morefield,R,Administration of Government,Official LIS subject,4,2,2,4,INSUFFICIENT DATA,50.0,50.0
2026,H0333,Jason S. Ballard,R,Administration of Government,Official LIS subject,6,3,3,6,INSUFFICIENT DATA,50.0,50.0
2026,H0124,R. Lee Ware,R,Administration of Government,Official LIS subject,4,2,2,4,INSUFFICIENT DATA,50.0,50.0
2026,H0357,Will Davis,R,Administration of Government,Official LIS subject,4,2,2,4,INSUFFICIENT DATA,50.0,50.0
2026,H0348,Wren M. Williams,R,Administration of Government,Official LIS subject,7,2,3,5,INSUFFICIENT DATA,40.0,60.0
2026,H0384,Eric Phillips,R,Administration of Government,Official LIS subject,6,2,4,6,INSUFFICIENT DATA,33.33333333333333,66.66666666666666
2026,H0347,"H. Otto Wachsmann, Jr.",R,Administration of Government,Official LIS subject,6,2,4,6,INSUFFICIENT DATA,33.33333333333333,66.66666666666666
2026,H0267,"Robert S. Bloxom, Jr.",R,Administration of Government,Official LIS subject,6,2,4,6,INSUFFICIENT DATA,33.33333333333333,66.66666666666666
2026,H0253,Terry L. Austin,R,Administration of Government,Official LIS subject,4,1,2,3,INSUFFICIENT DATA,33.33333333333333,66.66666666666666
2026,H0350,Ellen H. McLaughlin,R,Administration of Government,Official LIS subject,4,1,3,4,INSUFFICIENT DATA,25.0,75.0
2026,H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Administration of Government,Official LIS subject,4,1,3,4,INSUFFICIENT DATA,25.0,75.0
2026,H0242,Israel D. O'Quinn,R,Administration of Government,Official LIS subject,8,2,6,8,INSUFFICIENT DATA,25.0,75.0
2026,H0238,M. Keith Hodges,R,Administration of Government,Official LIS subject,4,1,3,4,INSUFFICIENT DATA,25.0,75.0
2026,H0401,Madison Whittle,R,Administration of Government,Official LIS subject,4,1,3,4,INSUFFICIENT DATA,25.0,75.0
