year,member_id,MBR_NAME,party,topic_name,topic_vote_events,directional_topic_votes,yes_votes,no_votes,topic_provenance,yes_pct,no_pct,voting_tendency
2026,H0387,"Karen R. ""Kacey"" Carnegie",D,Agriculture and Food,23,23,23,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0294,Karrie K. Delaney,D,Agriculture and Food,27,27,27,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0354,Katrina Callsen,D,Agriculture and Food,24,23,23,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0295,Kelly K. Convirs-Fowler,D,Agriculture and Food,27,24,24,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0399,Kimberly Pope Adams,D,Agriculture and Food,38,38,38,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0355,Laura Jane Cohen,D,Agriculture and Food,29,29,29,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0396,Leslie Chambers Mehta,D,Agriculture and Food,25,25,25,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0391,Lindsey Dougherty,D,Agriculture and Food,25,25,25,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0227,Luke E. Torian,D,Agriculture and Food,32,27,27,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0404,Margaret A. Franklin,D,Agriculture and Food,25,25,25,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0397,May Nivar,D,Agriculture and Food,27,27,27,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0360,Michael B. Feggans,D,Agriculture and Food,27,27,27,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0340,Michelle Lopes Maldonado,D,Agriculture and Food,25,25,25,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0389,Nicole Cole,D,Agriculture and Food,26,25,25,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0281,Paul E. Krizek,D,Agriculture and Food,54,54,54,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0356,Rae Cousins,D,Agriculture and Food,27,27,27,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0269,"Richard C. ""Rip"" Sullivan, Jr.",D,Agriculture and Food,28,28,28,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0327,Rodney T. Willett,D,Agriculture and Food,53,52,52,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0365,"Rozia A. Henson, Jr.",D,Agriculture and Food,25,25,25,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0388,Stacey Annie Carroll,D,Agriculture and Food,24,24,24,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0108,Vivian E. Watts,D,Agriculture and Food,24,24,24,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0349,Jackie H. Glass,D,Agriculture and Food,50,50,49,1,Derived from LIS bill summary | Derived from LIS bill description,98.0,2.0,YES
2026,H0374,Marty Martinez,D,Agriculture and Food,47,46,45,1,Derived from LIS bill summary | Derived from LIS bill description,97.82608695652173,2.1739130434782608,YES
2026,H0323,Shelly A. Simonds,D,Agriculture and Food,46,46,45,1,Derived from LIS bill summary | Derived from LIS bill description,97.82608695652173,2.1739130434782608,YES
2026,H0400,Virgil Thornton,D,Agriculture and Food,46,46,45,1,Derived from LIS bill summary | Derived from LIS bill description,97.82608695652173,2.1739130434782608,YES
2026,H0366,Phil M. Hernandez,D,Agriculture and Food,44,44,43,1,Derived from LIS bill summary | Derived from LIS bill description,97.72727272727273,2.272727272727273,YES
2026,H0395,John Chilton McAuliff,D,Agriculture and Food,49,43,42,1,Derived from LIS bill summary | Derived from LIS bill description,97.67441860465115,2.3255813953488373,YES
2026,H0393,Lily V. Franklin,D,Agriculture and Food,43,43,42,1,Derived from LIS bill summary | Derived from LIS bill description,97.67441860465115,2.3255813953488373,YES
2026,H0336,Nadarius E. Clark,D,Agriculture and Food,46,39,38,1,Derived from LIS bill summary | Derived from LIS bill description,97.43589743589743,2.564102564102564,YES
2026,H0239,Alfonso H. Lopez,D,Agriculture and Food,40,38,37,1,Derived from LIS bill summary | Derived from LIS bill description,97.36842105263158,2.631578947368421,YES
2026,H0284,"Marcia S. ""Cia"" Price",D,Agriculture and Food,31,31,30,1,Derived from LIS bill summary | Derived from LIS bill description,96.7741935483871,3.225806451612903,YES
2026,H0317,Dan I. Helmer,D,Agriculture and Food,31,30,29,1,Derived from LIS bill summary | Derived from LIS bill description,96.66666666666667,3.3333333333333335,YES
2026,H0344,Irene Shin,D,Agriculture and Food,31,30,29,1,Derived from LIS bill summary | Derived from LIS bill description,96.66666666666667,3.3333333333333335,YES
2026,H0392,Mark C. Downey,D,Agriculture and Food,29,29,28,1,Derived from LIS bill summary | Derived from LIS bill description,96.55172413793103,3.4482758620689653,YES
2026,H0405,Garrett McGuire,D,Agriculture and Food,28,28,27,1,Derived from LIS bill summary | Derived from LIS bill description,96.42857142857143,3.571428571428571,YES
2026,H0266,Sam Rasoul,D,Agriculture and Food,28,28,27,1,Derived from LIS bill summary | Derived from LIS bill description,96.42857142857143,3.571428571428571,YES
2026,H0208,Charniele L. Herring,D,Agriculture and Food,53,53,51,2,Derived from LIS bill summary | Derived from LIS bill description,96.22641509433963,3.7735849056603774,YES
2026,H0219,Patrick A. Hope,D,Agriculture and Food,26,26,25,1,Derived from LIS bill summary | Derived from LIS bill description,96.15384615384616,3.8461538461538463,YES
2026,H0264,Marcus B. Simon,D,Agriculture and Food,25,25,24,1,Derived from LIS bill summary | Derived from LIS bill description,96.0,4.0,YES
2026,H0305,Kathy K.L. Tran,D,Agriculture and Food,50,49,44,5,Derived from LIS bill summary | Derived from LIS bill description,89.79591836734694,10.204081632653061,YES
2026,H0267,"Robert S. Bloxom, Jr.",R,Agriculture and Food,46,45,37,8,Derived from LIS bill summary | Derived from LIS bill description,82.22222222222221,17.77777777777778,YES
2026,H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Agriculture and Food,46,46,35,11,Derived from LIS bill summary | Derived from LIS bill description,76.08695652173914,23.91304347826087,YES
2026,H0231,Tony O. Wilt,R,Agriculture and Food,46,45,34,11,Derived from LIS bill summary | Derived from LIS bill description,75.55555555555556,24.444444444444443,YES
2026,H0224,James W. Morefield,R,Agriculture and Food,31,31,23,8,Derived from LIS bill summary | Derived from LIS bill description,74.19354838709677,25.806451612903224,YES
2026,H0347,"H. Otto Wachsmann, Jr.",R,Agriculture and Food,26,26,19,7,Derived from LIS bill summary | Derived from LIS bill description,73.07692307692307,26.923076923076923,YES
2026,H0325,Wendell S. Walker,R,Agriculture and Food,26,26,19,7,Derived from LIS bill summary | Derived from LIS bill description,73.07692307692307,26.923076923076923,YES
2026,H0253,Terry L. Austin,R,Agriculture and Food,30,30,21,9,Derived from LIS bill summary | Derived from LIS bill description,70.0,30.0,YES
