Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
SB789,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,Newborn and stillborn tax credit; establishes a refundable income tax credit.,True,\bincome tax\b
SB790,Behavioral Health,Derived from LIS bill description,,,BILLS.CSV,Opioid antagonists; dispensing and administration by person acting on behalf of an organization.,True,\bopioids?\b
SB791,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,"Practical nursing programs; common curriculum, transferability to registered nursing programs.",True,\bnursing\b
SB795,Transportation,Derived from LIS bill description,,,BILLS.CSV,"Virginia Museum of Transportation; established, report.",True,\btransportation\b
SB798,Business and Commerce,Derived from LIS bill description,,,BILLS.CSV,"Retail franchise agreements; governing law, competition restrictions.",True,\bfranchise agreements?\b
SB800,Budget and Appropriations,Derived from LIS bill description,,,BILLS.CSV,Budget Bill.,True,\bbudget bill\b
SB801,Family and Children,Derived from LIS bill description,,,BILLS.CSV,Children's Services Act; changes to state pool of funds.,True,\bchildren\b
SB802,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,Illegal drugs; venue for certain distribution offenses.,True,\boffenses?\b
SB803,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,Workers' compensation; injuries caused by repetitive and sustained physical stressors.,True,\bworkers'? compensation\b
SB804,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,Limitation on prosecution of felony due to lapse of time after finding of probable cause; exception.,True,\bfelony\b
SB805,Family and Children,Derived from LIS bill description,,,BILLS.CSV,Child support; updates amounts in the schedule of basic support obligations.,True,\bchild support\b
SB806,Environment and Conservation,Derived from LIS bill description,,,BILLS.CSV,State Air Pollution Control Board; regulations; low-emissions and zero-emissions vehicle standards.,True,\bpollution\b
SB809,Local Government,Derived from LIS bill description,,,BILLS.CSV,"Fire Programs Fund; aid to localities, requirement for emergency incidents reporting.",True,\blocalit
SB810,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,"Income tax, state; eligible low-income taxpayers to claim a refundable income tax credit.",True,\bincome tax\b
