Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HJ497,Unclassified,Unclassified,,,BILLS.CSV,Retail cannabis market; joint commission established to oversee transition of the Commonwealth.,False,
HJ498,Unclassified,Unclassified,,,BILLS.CSV,Kindness Day.,False,
HJ499,Unclassified,Unclassified,,,BILLS.CSV,Krabbe Disease Awareness Day.,False,
HJ501,Unclassified,Unclassified,,,BILLS.CSV,"Constitutional amendment; Literary 5 Fund, exemption for certain asset forfeiture (first reference).",False,
HJ502,Unclassified,Unclassified,,,BILLS.CSV,Governor; portrait.,False,
HJ503,Unclassified,Unclassified,,,BILLS.CSV,Commending Torri Huske.,False,
HJ504,Unclassified,Unclassified,,,BILLS.CSV,Commending the National Conference of State Legislatures.,False,
HJ505,Unclassified,Unclassified,,,BILLS.CSV,"Commending Donald Sullivan, Jr.",False,
HJ506,Unclassified,Unclassified,,,BILLS.CSV,Commending the Culpeper Sheriff's Office.,False,
HJ507,Unclassified,Unclassified,,,BILLS.CSV,Emergency Management Professionals Week.,False,
HJ508,Unclassified,Unclassified,,,BILLS.CSV,"Commemorating the life and legacy of Private Oscar Cleveland Hicks, USA.",False,
HJ509,Unclassified,Unclassified,,,BILLS.CSV,Commending Shrine Mont.,False,
HJ510,Unclassified,Unclassified,,,BILLS.CSV,Commending the Gloucester County Branch of the NAACP.,False,
HJ511,Unclassified,Unclassified,,,BILLS.CSV,Celebrating the life of Nikki Giovanni.,False,
HJ512,Unclassified,Unclassified,,,BILLS.CSV,Commending the Roanoke Star.,False,
HJ513,Unclassified,Unclassified,,,BILLS.CSV,Commending M'lissa Dunn.,False,
HJ514,Unclassified,Unclassified,,,BILLS.CSV,Commending Valerie Pisierra.,False,
HJ515,Unclassified,Unclassified,,,BILLS.CSV,Commending Rachel Roberts.,False,
HJ516,Unclassified,Unclassified,,,BILLS.CSV,Commending Anthony Cimino-Johnson.,False,
HJ517,Unclassified,Unclassified,,,BILLS.CSV,Commending the Tarara Summer Concert Series.,False,
HJ518,Unclassified,Unclassified,,,BILLS.CSV,Commending Brody Dawyot.,False,
HJ519,Unclassified,Unclassified,,,BILLS.CSV,Commending Pat B. Huber.,False,
HJ520,Unclassified,Unclassified,,,BILLS.CSV,Commending Sandra Davis.,False,
HJ521,Unclassified,Unclassified,,,BILLS.CSV,Commending the Rotary Club of Woodstock.,False,
HJ522,Unclassified,Unclassified,,,BILLS.CSV,Celebrating the life of Charlotte Hall Hutt.,False,
HJ523,Unclassified,Unclassified,,,BILLS.CSV,Commending the Buckhorn Volunteer Fire Department.,False,
HJ524,Unclassified,Unclassified,,,BILLS.CSV,Commending Harris Funeral Homes.,False,
HJ525,Unclassified,Unclassified,,,BILLS.CSV,Commending Arrington's Home Furnishings.,False,
HJ526,Unclassified,Unclassified,,,BILLS.CSV,"Commending the Rescue College of the Virginia Association of Volunteer Rescue Squads, Inc.",False,
HJ527,Unclassified,Unclassified,,,BILLS.CSV,"Commending Janet Gullickson, Ed.D.",False,
HJ528,Unclassified,Unclassified,,,BILLS.CSV,Commending Belinda Black.,False,
HJ529,Unclassified,Unclassified,,,BILLS.CSV,Commending the MOC Beagles.,False,
HJ530,Unclassified,Unclassified,,,BILLS.CSV,Commending Emily Ann Fox.,False,
HJ531,Unclassified,Unclassified,,,BILLS.CSV,Commending Keith H. Johnson.,False,
HJ532,Unclassified,Unclassified,,,BILLS.CSV,Commending the Adler Center for Caring on the Van Metre Campus.,False,
HJ533,Unclassified,Unclassified,,,BILLS.CSV,Celebrating the life of Stella Dikos.,False,
HJ534,Unclassified,Unclassified,,,BILLS.CSV,Commending Ron Montgomery.,False,
HJ535,Unclassified,Unclassified,,,BILLS.CSV,Commending Sheila S. Noll.,False,
HJ536,Unclassified,Unclassified,,,BILLS.CSV,Commending Thomas G. Shepperd.,False,
HJ537,Unclassified,Unclassified,,,BILLS.CSV,Commending Elizabeth S. Kostelny.,False,
HJ538,Unclassified,Unclassified,,,BILLS.CSV,Commending the Lackey Clinic.,False,
HJ539,Unclassified,Unclassified,,,BILLS.CSV,Commending The Arc of Greater Williamsburg.,False,
HJ540,Unclassified,Unclassified,,,BILLS.CSV,Commending Busch Gardens Williamsburg.,False,
HJ541,Unclassified,Unclassified,,,BILLS.CSV,Commending the Yorktown Arts Foundation.,False,
HJ542,Unclassified,Unclassified,,,BILLS.CSV,Commending The Bargain Box.,False,
HJ543,Unclassified,Unclassified,,,BILLS.CSV,Commending Bishop Fishing Supply.,False,
HJ544,Unclassified,Unclassified,,,BILLS.CSV,Commending Ross A. Mugler.,False,
HJ545,Unclassified,Unclassified,,,BILLS.CSV,Commending Lara Shearin Overy.,False,
HJ546,Unclassified,Unclassified,,,BILLS.CSV,Celebrating the life of Charles Daniel Spruill.,False,
HJ547,Unclassified,Unclassified,,,BILLS.CSV,Commending the organizers of Virginia American Revolution 250 Commission events in Historic Yorktown.,False,
