Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HB230,Transportation,Derived from LIS bill description,,,BILLS.CSV,"Motor vehicles; use of safety belt systems, certain emergency medical services personnel exempted.",True,\bmotor vehicles?\b
HB230,Public Safety,Derived from LIS bill description,,,BILLS.CSV,"Motor vehicles; use of safety belt systems, certain emergency medical services personnel exempted.",True,\bemergency medical services\b
HB232,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,"Collaborative agreements; removes registered nurses from list of practitioners, etc.",True,\bnurses?\b
HB233,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,"Motor vehicles; use of safety belt systems, exempts certain emergency medical services personnel.",True,\bmedical\b
HB233,Transportation,Derived from LIS bill description,,,BILLS.CSV,"Motor vehicles; use of safety belt systems, exempts certain emergency medical services personnel.",True,\bmotor vehicles?\b
HB233,Public Safety,Derived from LIS bill description,,,BILLS.CSV,"Motor vehicles; use of safety belt systems, exempts certain emergency medical services personnel.",True,\bemergency medical services\b
HB234,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,"Elections; general provisions, electoral board members to wear identification, civil penalty.",True,\belections?\b
HB235,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,"Elections; districts, precincts, and polling places, pilot program for super precincts.",True,\belections?\b
HB238,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,"Minimum wage and overtime wages; payment, of wages, misclassification of workers, civil actions.",True,\bminimum wage\b
HB240,Behavioral Health,Derived from LIS bill description,,,BILLS.CSV,"Admission to bail; fixing terms of bail, mental health considerations.",True,\bmental health\b
HB242,Energy and Utilities,Derived from LIS bill description,,,BILLS.CSV,Public utilities; budget plan payment increases.,True,\bpublic utilit
HB242,Budget and Appropriations,Derived from LIS bill description,,,BILLS.CSV,Public utilities; budget plan payment increases.,True,\bbudget\b
HB243,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,Corporate welfare tax; imposes on large employers a tax equal to 100% of qualified employee benefit.,True,\bemployers?\b
HB244,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,Robbery; conforms certain provisions of Code to degrees of robbery offenses.,True,\boffenses?\b
HB245,Behavioral Health,Derived from LIS bill description,,,BILLS.CSV,"Jurisdiction of district courts in felony cases; specialty dockets, Behavioral Health Docket Act.",True,\bbehavioral health\b
HB245,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,"Jurisdiction of district courts in felony cases; specialty dockets, Behavioral Health Docket Act.",True,\bfelony\b
HB247,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,"Deferred dispos. in criminal case; persons with autism, intellectual, or developmental disabilities.",True,\bcriminal\b
HB248,Behavioral Health,Derived from LIS bill description,,,BILLS.CSV,Interjurisdictional law-enforcement agreements; development of behavioral health co-response teams.,True,\bbehavioral health\b
HB250,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,"Sex offenses prohibiting proximity to children; Park Authorities Act, penalty.",True,\boffenses?\b
HB250,Family and Children,Derived from LIS bill description,,,BILLS.CSV,"Sex offenses prohibiting proximity to children; Park Authorities Act, penalty.",True,\bchildren\b
HB251,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,Assault and battery; creates Class 6 felony for serious bodily injury.,True,\bfelony\b
HB253,Education,Derived from LIS bill description,,,BILLS.CSV,Interstate Teacher Mobility Compact; enters the Commonwealth into Compact.,True,\bteachers?\b
HB254,Family and Children,Derived from LIS bill description,,,BILLS.CSV,Child Care Subsidy Program; income-based eligibility for assistance.,True,\bchild care\b
HB256,Environment and Conservation,Derived from LIS bill description,,,BILLS.CSV,Comprehensive plan; environmental justice strategy.,True,\benvironmental justice\b
HB258,Education,Derived from LIS bill description,,,BILLS.CSV,Early childhood care and education; updates terminology.,True,\beducation\b
HB259,Family and Children,Derived from LIS bill description,,,BILLS.CSV,"Home-Based Child Care Provider Start-Up Grants Pilot Program; established, sunset.",True,\bchild care\b
HB260,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,Public service companies; prevailing wage rate for underground infrastructure work.,True,\bwages?\b
HB262,Local Government,Derived from LIS bill description,,,BILLS.CSV,Minimum parking requirements; prohibition on mandates by localities.,True,\blocalit
HB265,Education,Derived from LIS bill description,,,BILLS.CSV,"Students, certain; grants at public institutions of higher education, qualifications.",True,\bstudents?\b
HB265,Higher Education,Derived from LIS bill description,,,BILLS.CSV,"Students, certain; grants at public institutions of higher education, qualifications.",True,\bhigher education\b
HB266,Family and Children,Derived from LIS bill description,,,BILLS.CSV,Child abuse and neglect; creates centralized intake and validity determination.,True,\bchild abuse\b
HB273,Public Safety,Derived from LIS bill description,,,BILLS.CSV,"Law-enforcement officers; duty to render aid upon danger to life or limb, civil immunity.",True,\blaw-enforcement officers?\b
HB274,Family and Children,Derived from LIS bill description,,,BILLS.CSV,"Children; seizure, etc., of property used in connection with exploitation and solicitation.",True,\bchildren\b
HB275,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,Employment prohibition exceptions; apprenticeship program for children 16 years of age or older.,True,\bemployment\b
HB275,Family and Children,Derived from LIS bill description,,,BILLS.CSV,Employment prohibition exceptions; apprenticeship program for children 16 years of age or older.,True,\bchildren\b
HB279,Education,Derived from LIS bill description,,,BILLS.CSV,Teachers; timeline and process for increasing salaries to at least national average.,True,\bteachers?\b
HB280,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,Comprehensive children's health care coverage program; DMAS Services to establish.,True,\bhealth care\b
HB280,Insurance,Derived from LIS bill description,,,BILLS.CSV,Comprehensive children's health care coverage program; DMAS Services to establish.,True,\bcoverage\b
HB280,Family and Children,Derived from LIS bill description,,,BILLS.CSV,Comprehensive children's health care coverage program; DMAS Services to establish.,True,\bchildren\b
HB281,Housing,Derived from LIS bill description,,,BILLS.CSV,Va. Residential Landlord and Tenant Act; defense to action for possession for nonpayment of rent,True,\bresidential landlord\b
HB282,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,Real property tax; classification of land and improvement in Cities of Charlottesville/Falls Church.,True,\bproperty tax\b
HB283,Family and Children,Derived from LIS bill description,,,BILLS.CSV,Child abuse or neglect; prenatal use of a controlled substance or drug as prescribed.,True,\bchild abuse\b
HB284,Energy and Utilities,Derived from LIS bill description,,,BILLS.CSV,"Electric utilities; electric demand flexibility programs, high energy demand customers, report.",True,\belectric utilit
HB285,Energy and Utilities,Derived from LIS bill description,,,BILLS.CSV,"Distributed Energy Resources Task Force; created, membership, reports, sunset.",True,\benergy\b
HB287,Education,Derived from LIS bill description,,,BILLS.CSV,Higher ed. institution; eligibility for in-state tuition for citizens of fed. recognized Va. tribes.,True,\btuition\b
