member_id,topic_name,classification,MBR_NAME_2025,party_2025,yes_votes_2025,no_votes_2025,directional_topic_votes_2025,yes_pct_2025,no_pct_2025,voting_tendency_2025,MBR_NAME_2026,party_2026,yes_votes_2026,no_votes_2026,directional_topic_votes_2026,yes_pct_2026,no_pct_2026,voting_tendency_2026,topic_status,MBR_NAME,party,yes_pct_change,comparable_tendency,voting_tendency_changed,data_availability_changed
H0362,Courts and Civil Law,Derived from LIS bill description,"Thomas A. Garrett, Jr.",R,8.0,14.0,22.0,36.36363636363637,63.63636363636363,MIXED,"Thomas A. Garrett, Jr.",R,10.0,20.0,30.0,33.33333333333333,66.66666666666666,NO,Present both years,"Thomas A. Garrett, Jr.",R,-3.0303030303030383,True,True,False
H0056,Labor and Employment,Derived from LIS bill description,Terry G. Kilgore,R,41.0,69.0,110.0,37.27272727272727,62.727272727272734,MIXED,Terry G. Kilgore,R,53.0,103.0,156.0,33.97435897435898,66.02564102564102,NO,Present both years,Terry G. Kilgore,R,-3.2983682983682954,True,True,False
H0342,Local Government,Derived from LIS bill description,Phillip A. Scott,R,7.0,12.0,19.0,36.84210526315789,63.1578947368421,MIXED,Phillip A. Scott,R,14.0,28.0,42.0,33.33333333333333,66.66666666666666,NO,Present both years,Phillip A. Scott,R,-3.5087719298245617,True,True,False
H0231,Housing,Derived from LIS bill description,Tony O. Wilt,R,12.0,22.0,34.0,35.294117647058826,64.70588235294117,MIXED,Tony O. Wilt,R,27.0,58.0,85.0,31.76470588235294,68.23529411764706,NO,Present both years,Tony O. Wilt,R,-3.5294117647058876,True,True,False
H0259,Insurance,Derived from LIS bill description,"Hyland F. ""Buddy"" Fowler, Jr.",R,17.0,9.0,26.0,65.38461538461539,34.61538461538461,YES,"Hyland F. ""Buddy"" Fowler, Jr.",R,25.0,16.0,41.0,60.97560975609756,39.02439024390244,MIXED,Present both years,"Hyland F. ""Buddy"" Fowler, Jr.",R,-4.409005628517825,True,True,False
H0308,Business and Commerce,Derived from LIS bill description,Joseph P. McNamara,R,27.0,12.0,39.0,69.23076923076923,30.76923076923077,YES,Joseph P. McNamara,R,36.0,20.0,56.0,64.28571428571429,35.714285714285715,MIXED,Present both years,Joseph P. McNamara,R,-4.945054945054935,True,True,False
H0384,Transportation,Derived from LIS bill description,Eric Phillips,R,29.0,15.0,44.0,65.9090909090909,34.090909090909086,YES,Eric Phillips,R,65.0,42.0,107.0,60.747663551401864,39.25233644859813,MIXED,Present both years,Eric Phillips,R,-5.161427357689043,True,True,False
H0342,Courts and Civil Law,Derived from LIS bill description,Phillip A. Scott,R,10.0,15.0,25.0,40.0,60.0,MIXED,Phillip A. Scott,R,10.0,19.0,29.0,34.48275862068966,65.51724137931035,NO,Present both years,Phillip A. Scott,R,-5.517241379310342,True,True,False
H0347,Insurance,Derived from LIS bill description,"H. Otto Wachsmann, Jr.",R,20.0,9.0,29.0,68.96551724137932,31.03448275862069,YES,"H. Otto Wachsmann, Jr.",R,26.0,15.0,41.0,63.41463414634146,36.58536585365854,MIXED,Present both years,"H. Otto Wachsmann, Jr.",R,-5.550883095037854,True,True,False
H0328,Insurance,Derived from LIS bill description,Scott A. Wyatt,R,22.0,9.0,31.0,70.96774193548387,29.03225806451613,YES,Scott A. Wyatt,R,35.0,19.0,54.0,64.81481481481481,35.18518518518518,MIXED,Present both years,Scott A. Wyatt,R,-6.152927120669062,True,True,False
H0384,Business and Commerce,Derived from LIS bill description,Eric Phillips,R,19.0,8.0,27.0,70.37037037037037,29.629629629629626,YES,Eric Phillips,R,34.0,19.0,53.0,64.15094339622641,35.84905660377358,MIXED,Present both years,Eric Phillips,R,-6.219426974143957,True,True,False
H0347,Transportation,Derived from LIS bill description,"H. Otto Wachsmann, Jr.",R,31.0,14.0,45.0,68.88888888888889,31.11111111111111,YES,"H. Otto Wachsmann, Jr.",R,53.0,32.0,85.0,62.35294117647059,37.64705882352941,MIXED,Present both years,"H. Otto Wachsmann, Jr.",R,-6.535947712418299,True,True,False
H0350,Transportation,Derived from LIS bill description,Ellen H. Campbell,R,31.0,16.0,47.0,65.95744680851064,34.04255319148936,YES,Ellen H. McLaughlin,R,51.0,35.0,86.0,59.30232558139535,40.69767441860465,MIXED,Present both years,Ellen H. McLaughlin,R,-6.655121227115288,True,True,False
H0369,Behavioral Health,Derived from LIS bill description,Hillary Pugh Kent,R,18.0,8.0,26.0,69.23076923076923,30.76923076923077,YES,Hillary Pugh Kent,R,30.0,18.0,48.0,62.5,37.5,MIXED,Present both years,Hillary Pugh Kent,R,-6.730769230769226,True,True,False
H0308,Environment and Conservation,Derived from LIS bill description,Joseph P. McNamara,R,9.0,13.0,22.0,40.909090909090914,59.09090909090909,MIXED,Joseph P. McNamara,R,14.0,27.0,41.0,34.146341463414636,65.85365853658537,NO,Present both years,Joseph P. McNamara,R,-6.762749445676278,True,True,False
H0335,Elections and Voting,Derived from LIS bill description,Mike A. Cherry,R,32.0,47.0,79.0,40.50632911392405,59.49367088607595,MIXED,Mike A. Cherry,R,49.0,99.0,148.0,33.108108108108105,66.8918918918919,NO,Present both years,Mike A. Cherry,R,-7.398221005815948,True,True,False
H0333,Housing,Derived from LIS bill description,Jason S. Ballard,R,15.0,24.0,39.0,38.46153846153847,61.53846153846154,MIXED,Jason S. Ballard,R,27.0,60.0,87.0,31.03448275862069,68.96551724137932,NO,Present both years,Jason S. Ballard,R,-7.427055702917777,True,True,False
H0124,Transportation,Derived from LIS bill description,R. Lee Ware,R,31.0,16.0,47.0,65.95744680851064,34.04255319148936,YES,R. Lee Ware,R,49.0,35.0,84.0,58.333333333333336,41.66666666666667,MIXED,Present both years,R. Lee Ware,R,-7.624113475177303,True,True,False
H0224,Business and Commerce,Derived from LIS bill description,James W. Morefield,R,28.0,12.0,40.0,70.0,30.0,YES,James W. Morefield,R,48.0,29.0,77.0,62.33766233766234,37.66233766233766,MIXED,Present both years,James W. Morefield,R,-7.662337662337663,True,True,False
H0335,Criminal Justice,Derived from LIS bill description,Mike A. Cherry,R,50.0,26.0,76.0,65.78947368421053,34.21052631578947,YES,Mike A. Cherry,R,51.0,37.0,88.0,57.95454545454546,42.04545454545455,MIXED,Present both years,Mike A. Cherry,R,-7.834928229665074,True,True,False
H0124,Public Safety,Derived from LIS bill description,R. Lee Ware,R,9.0,4.0,13.0,69.23076923076923,30.76923076923077,YES,R. Lee Ware,R,19.0,12.0,31.0,61.29032258064516,38.70967741935484,MIXED,Present both years,R. Lee Ware,R,-7.940446650124066,True,True,False
H0262,Labor and Employment,Derived from LIS bill description,"James A. ""Jay"" Leftwich",R,32.0,52.0,84.0,38.095238095238095,61.904761904761905,MIXED,"James A. ""Jay"" Leftwich",R,33.0,77.0,110.0,30.0,70.0,NO,Present both years,"James A. ""Jay"" Leftwich",R,-8.095238095238095,True,True,False
H0247,Business and Commerce,Derived from LIS bill description,Michael J. Webert,R,23.0,11.0,34.0,67.64705882352942,32.35294117647059,YES,Michael J. Webert,R,38.0,26.0,64.0,59.375,40.625,MIXED,Present both years,Michael J. Webert,R,-8.27205882352942,True,True,False
H0056,Transportation,Derived from LIS bill description,Terry G. Kilgore,R,39.0,19.0,58.0,67.24137931034483,32.758620689655174,YES,Terry G. Kilgore,R,66.0,47.0,113.0,58.4070796460177,41.5929203539823,MIXED,Present both years,Terry G. Kilgore,R,-8.834299664327126,True,True,False
