Bill_id,topic_name,classification
HB1937,Health and Healthcare,Derived from LIS bill description
HB1937,Behavioral Health,Derived from LIS bill description
HB1938,Elections and Voting,Derived from LIS bill description
HB1939,Taxes and Revenue,Derived from LIS bill description
HB1945,Education,Derived from LIS bill description
HB1945,Behavioral Health,Derived from LIS bill description
HB1947,Education,Derived from LIS bill description
HB1947,Behavioral Health,Derived from LIS bill description
HB1951,Labor and Employment,Derived from LIS bill description
HB1952,Elections and Voting,Derived from LIS bill description
HB1953,Elections and Voting,Derived from LIS bill description
HB1954,Education,Derived from LIS bill description
HB1957,Education,Derived from LIS bill description
HB1958,Education,Derived from LIS bill description
HB1959,Family and Children,Derived from LIS bill description
HB1960,Firearms,Derived from LIS bill description
HB1961,Education,Derived from LIS bill description
HB1962,Taxes and Revenue,Derived from LIS bill description
HB1962,Family and Children,Derived from LIS bill description
HB1965,Taxes and Revenue,Derived from LIS bill description
HB1966,Business and Commerce,Derived from LIS bill description
HB1968,Criminal Justice,Derived from LIS bill description
HB1969,Taxes and Revenue,Derived from LIS bill description
HB1972,Education,Derived from LIS bill description
HB1973,Housing,Derived from LIS bill description
HB1975,Health and Healthcare,Derived from LIS bill description
HB1976,Health and Healthcare,Derived from LIS bill description
HB1977,Health and Healthcare,Derived from LIS bill description
HB1977,Behavioral Health,Derived from LIS bill description
HB1977,Firearms,Derived from LIS bill description
HB1978,Health and Healthcare,Derived from LIS bill description
HB1979,Labor and Employment,Derived from LIS bill description
HB1980,Labor and Employment,Derived from LIS bill description
HB1982,Transportation,Derived from LIS bill description
HB1983,Education,Derived from LIS bill description
HB1985,Family and Children,Derived from LIS bill description
HB1986,Public Safety,Derived from LIS bill description
HB1988,Education,Derived from LIS bill description
HB1989,Health and Healthcare,Derived from LIS bill description
HB1990,Elections and Voting,Derived from LIS bill description
HB1992,Public Safety,Derived from LIS bill description
HB1993,Education,Derived from LIS bill description
HB1995,Education,Derived from LIS bill description
HB1995,Higher Education,Derived from LIS bill description
HB1997,Taxes and Revenue,Derived from LIS bill description
HB1999,Energy and Utilities,Derived from LIS bill description
HB2002,Elections and Voting,Derived from LIS bill description
HB2003,Energy and Utilities,Derived from LIS bill description
HB2004,Taxes and Revenue,Derived from LIS bill description
HB2007,Taxes and Revenue,Derived from LIS bill description
HB2009,Education,Derived from LIS bill description
HB2010,Family and Children,Derived from LIS bill description
HB2011,Elections and Voting,Derived from LIS bill description
HB2014,Criminal Justice,Derived from LIS bill description
HB2014,Family and Children,Derived from LIS bill description
HB2015,Criminal Justice,Derived from LIS bill description
HB2015,Firearms,Derived from LIS bill description
HB2017,Education,Derived from LIS bill description
HB2018,Education,Derived from LIS bill description
HB2020,Transportation,Derived from LIS bill description
HB2023,Health and Healthcare,Derived from LIS bill description
HB2024,Energy and Utilities,Derived from LIS bill description
HB2024,Environment and Conservation,Derived from LIS bill description
HB2025,Environment and Conservation,Derived from LIS bill description
HB2028,Education,Derived from LIS bill description
HB2029,Taxes and Revenue,Derived from LIS bill description
HB2030,Environment and Conservation,Derived from LIS bill description
HB2032,Education,Derived from LIS bill description
HB2033,Labor and Employment,Derived from LIS bill description
HB2034,Environment and Conservation,Derived from LIS bill description
HB2035,Energy and Utilities,Derived from LIS bill description
HB2036,Transportation,Derived from LIS bill description
HB2037,Energy and Utilities,Derived from LIS bill description
HB2038,Business and Commerce,Derived from LIS bill description
HB2044,Education,Derived from LIS bill description
HB2044,Labor and Employment,Derived from LIS bill description
HB2045,Education,Derived from LIS bill description
HB2045,Higher Education,Derived from LIS bill description
HB2046,Technology and Data,Derived from LIS bill description
HB2047,Housing,Derived from LIS bill description
HB2049,Transportation,Derived from LIS bill description
HB2049,Taxes and Revenue,Derived from LIS bill description
HB2052,Local Government,Derived from LIS bill description
HB2053,Education,Derived from LIS bill description
HB2054,Housing,Derived from LIS bill description
HB2055,Education,Derived from LIS bill description
HB2056,Elections and Voting,Derived from LIS bill description
HB2057,Elections and Voting,Derived from LIS bill description
HB2059,Budget and Appropriations,Derived from LIS bill description
HB2060,Labor and Employment,Derived from LIS bill description
HB2060,Public Safety,Derived from LIS bill description
HB2061,Environment and Conservation,Derived from LIS bill description
HB2062,Education,Derived from LIS bill description
HB2062,Taxes and Revenue,Derived from LIS bill description
HB2063,Labor and Employment,Derived from LIS bill description
HB2064,Firearms,Derived from LIS bill description
HB2065,Local Government,Derived from LIS bill description
HB2066,Education,Derived from LIS bill description
HB2066,Labor and Employment,Derived from LIS bill description
HB2066,Criminal Justice,Derived from LIS bill description
HB2068,Local Government,Derived from LIS bill description
HB2069,Local Government,Derived from LIS bill description
HB2070,Education,Derived from LIS bill description
HB2072,Education,Derived from LIS bill description
HB2075,Family and Children,Derived from LIS bill description
HB2076,Health and Healthcare,Derived from LIS bill description
HB2076,Public Safety,Derived from LIS bill description
HB2076,Taxes and Revenue,Derived from LIS bill description
HB2079,Health and Healthcare,Derived from LIS bill description
HB2082,Health and Healthcare,Derived from LIS bill description
HB2084,Energy and Utilities,Derived from LIS bill description
HB2085,Insurance,Derived from LIS bill description
HB2086,Energy and Utilities,Derived from LIS bill description
HB2086,Taxes and Revenue,Derived from LIS bill description
HB2087,Energy and Utilities,Derived from LIS bill description
HB2087,Transportation,Derived from LIS bill description
HB2088,Health and Healthcare,Derived from LIS bill description
HB2090,Energy and Utilities,Derived from LIS bill description
HB2091,Labor and Employment,Derived from LIS bill description
HB2092,Elections and Voting,Derived from LIS bill description
HB2093,Family and Children,Derived from LIS bill description
HB2094,Technology and Data,Derived from LIS bill description
HB2097,Insurance,Derived from LIS bill description
HB2098,Labor and Employment,Derived from LIS bill description
HB2099,Health and Healthcare,Derived from LIS bill description
HB2099,Insurance,Derived from LIS bill description
HB2101,Energy and Utilities,Derived from LIS bill description
HB2104,Education,Derived from LIS bill description
HB2104,Labor and Employment,Derived from LIS bill description
HB2105,Criminal Justice,Derived from LIS bill description
HB2106,Health and Healthcare,Derived from LIS bill description
HB2106,Insurance,Derived from LIS bill description
HB2107,Insurance,Derived from LIS bill description
HB2108,Taxes and Revenue,Derived from LIS bill description
HB2111,Criminal Justice,Derived from LIS bill description
HB2113,Energy and Utilities,Derived from LIS bill description
HB2114,Taxes and Revenue,Derived from LIS bill description
HB2116,Transportation,Derived from LIS bill description
HB2118,Education,Derived from LIS bill description
HB2122,Housing,Derived from LIS bill description
HB2125,State Government,Derived from LIS bill description
HB2126,Energy and Utilities,Derived from LIS bill description
HB2126,Local Government,Derived from LIS bill description
HB2127,Labor and Employment,Derived from LIS bill description
HB2127,Local Government,Derived from LIS bill description
HB2128,Local Government,Derived from LIS bill description
HB2129,Local Government,Derived from LIS bill description
HB2132,Local Government,Derived from LIS bill description
HB2133,Insurance,Derived from LIS bill description
HB2136,Energy and Utilities,Derived from LIS bill description
HB2139,Elections and Voting,Derived from LIS bill description
HB2140,Elections and Voting,Derived from LIS bill description
HB2141,Transportation,Derived from LIS bill description
HB2142,Local Government,Derived from LIS bill description
HB2145,Firearms,Derived from LIS bill description
HB2146,Health and Healthcare,Derived from LIS bill description
HB2146,Family and Children,Derived from LIS bill description
HB2147,Taxes and Revenue,Derived from LIS bill description
HB2150,Business and Commerce,Derived from LIS bill description
HB2151,Housing,Derived from LIS bill description
HB2154,Education,Derived from LIS bill description
HB2156,Education,Derived from LIS bill description
HB2164,Education,Derived from LIS bill description
HB2165,Elections and Voting,Derived from LIS bill description
HB2168,Criminal Justice,Derived from LIS bill description
HB2171,Technology and Data,Derived from LIS bill description
HB2172,Local Government,Derived from LIS bill description
HB2173,Elections and Voting,Derived from LIS bill description
HB2174,Courts and Civil Law,Derived from LIS bill description
HB2176,Criminal Justice,Derived from LIS bill description
HB2177,Labor and Employment,Derived from LIS bill description
HB2180,Taxes and Revenue,Derived from LIS bill description
HB2182,Education,Derived from LIS bill description
HB2182,Family and Children,Derived from LIS bill description
HB2185,Energy and Utilities,Derived from LIS bill description
HB2187,Family and Children,Derived from LIS bill description
HB2188,Criminal Justice,Derived from LIS bill description
HB2190,Education,Derived from LIS bill description
HB2192,Criminal Justice,Derived from LIS bill description
HB2195,Business and Commerce,Derived from LIS bill description
HB2197,Energy and Utilities,Derived from LIS bill description
HB2200,Energy and Utilities,Derived from LIS bill description
HB2201,Education,Derived from LIS bill description
HB2202,Firearms,Derived from LIS bill description
HB2208,Insurance,Derived from LIS bill description
HB2209,Health and Healthcare,Derived from LIS bill description
HB2212,Local Government,Derived from LIS bill description
HB2213,Education,Derived from LIS bill description
HB2216,Elections and Voting,Derived from LIS bill description
HB2216,State Government,Derived from LIS bill description
HB2218,Housing,Derived from LIS bill description
HB2219,Education,Derived from LIS bill description
HB2220,Criminal Justice,Derived from LIS bill description
HB2221,Criminal Justice,Derived from LIS bill description
HB2224,Criminal Justice,Derived from LIS bill description
HB2224,Family and Children,Derived from LIS bill description
HB2226,Education,Derived from LIS bill description
HB2229,Housing,Derived from LIS bill description
HB2234,Transportation,Derived from LIS bill description
HB2234,Courts and Civil Law,Derived from LIS bill description
HB2235,Criminal Justice,Derived from LIS bill description
HB2236,Criminal Justice,Derived from LIS bill description
HB2237,Education,Derived from LIS bill description
HB2237,Labor and Employment,Derived from LIS bill description
HB2239,Taxes and Revenue,Derived from LIS bill description
HB2240,Social Services,Derived from LIS bill description
HB2241,Criminal Justice,Derived from LIS bill description
HB2241,Firearms,Derived from LIS bill description
HB2244,Education,Derived from LIS bill description
HB2245,Taxes and Revenue,Derived from LIS bill description
HB2247,Environment and Conservation,Derived from LIS bill description
HB2248,Taxes and Revenue,Derived from LIS bill description
HB2250,Technology and Data,Derived from LIS bill description
HB2252,Criminal Justice,Derived from LIS bill description
HB2253,Health and Healthcare,Derived from LIS bill description
HB2254,Transportation,Derived from LIS bill description
HB2255,Health and Healthcare,Derived from LIS bill description
HB2256,Transportation,Derived from LIS bill description
HB2257,Labor and Employment,Derived from LIS bill description
HB2259,Health and Healthcare,Derived from LIS bill description
HB2262,Taxes and Revenue,Derived from LIS bill description
HB2264,Taxes and Revenue,Derived from LIS bill description
HB2265,Education,Derived from LIS bill description
HB2267,Environment and Conservation,Derived from LIS bill description
HB2268,Technology and Data,Derived from LIS bill description
HB2269,Health and Healthcare,Derived from LIS bill description
HB2272,Criminal Justice,Derived from LIS bill description
HB2276,Elections and Voting,Derived from LIS bill description
HB2277,Elections and Voting,Derived from LIS bill description
HB2278,Education,Derived from LIS bill description
HB2279,Criminal Justice,Derived from LIS bill description
HB2281,Energy and Utilities,Derived from LIS bill description
HB2281,Local Government,Derived from LIS bill description
HB2282,Family and Children,Derived from LIS bill description
HB2284,Labor and Employment,Derived from LIS bill description
HB2286,Education,Derived from LIS bill description
HB2286,Labor and Employment,Derived from LIS bill description
HB2286,Family and Children,Derived from LIS bill description
HB2287,Family and Children,Derived from LIS bill description
HB2290,Health and Healthcare,Derived from LIS bill description
HB2290,Behavioral Health,Derived from LIS bill description
HB2290,Criminal Justice,Derived from LIS bill description
HB2291,Education,Derived from LIS bill description
HB2297,Education,Derived from LIS bill description
HB2297,Labor and Employment,Derived from LIS bill description
HB2298,Criminal Justice,Derived from LIS bill description
HB2299,Criminal Justice,Derived from LIS bill description
HB2301,Criminal Justice,Derived from LIS bill description
HB2301,Family and Children,Derived from LIS bill description
HB2302,Taxes and Revenue,Derived from LIS bill description
HB2305,Taxes and Revenue,Derived from LIS bill description
HB2307,Health and Healthcare,Derived from LIS bill description
HB2311,Local Government,Derived from LIS bill description
HB2320,Labor and Employment,Derived from LIS bill description
HB2323,Energy and Utilities,Derived from LIS bill description
HB2323,Agriculture and Food,Derived from LIS bill description
HB2324,Transportation,Derived from LIS bill description
HB2326,Business and Commerce,Derived from LIS bill description
HB2329,Insurance,Derived from LIS bill description
HB2333,Taxes and Revenue,Derived from LIS bill description
HB2334,Transportation,Derived from LIS bill description
HB2336,Taxes and Revenue,Derived from LIS bill description
HB2337,Elections and Voting,Derived from LIS bill description
HB2338,Education,Derived from LIS bill description
HB2339,Family and Children,Derived from LIS bill description
HB2341,Behavioral Health,Derived from LIS bill description
HB2345,Taxes and Revenue,Derived from LIS bill description
HB2346,Energy and Utilities,Derived from LIS bill description
HB2348,Housing,Derived from LIS bill description
HB2353,Family and Children,Derived from LIS bill description
HB2355,Business and Commerce,Derived from LIS bill description
HB2356,Labor and Employment,Derived from LIS bill description
HB2357,Elections and Voting,Derived from LIS bill description
HB2360,Education,Derived from LIS bill description
HB2360,Labor and Employment,Derived from LIS bill description
HB2362,Taxes and Revenue,Derived from LIS bill description
HB2363,Labor and Employment,Derived from LIS bill description
HB2363,Public Safety,Derived from LIS bill description
HB2365,Energy and Utilities,Derived from LIS bill description
HB2366,Public Safety,Derived from LIS bill description
HB2369,Criminal Justice,Derived from LIS bill description
HB2371,Insurance,Derived from LIS bill description
HB2372,Health and Healthcare,Derived from LIS bill description
HB2372,Insurance,Derived from LIS bill description
HB2373,Education,Derived from LIS bill description
HB2375,Health and Healthcare,Derived from LIS bill description
HB2380,Health and Healthcare,Derived from LIS bill description
HB2382,Taxes and Revenue,Derived from LIS bill description
HB2384,Health and Healthcare,Derived from LIS bill description
HB2385,Transportation,Derived from LIS bill description
HB2385,Courts and Civil Law,Derived from LIS bill description
HB2386,Energy and Utilities,Derived from LIS bill description
HB2388,Elections and Voting,Derived from LIS bill description
HB2390,Elections and Voting,Derived from LIS bill description
HB2391,Health and Healthcare,Derived from LIS bill description
HB2392,Health and Healthcare,Derived from LIS bill description
HB2392,Insurance,Derived from LIS bill description
HB2394,Health and Healthcare,Derived from LIS bill description
HB2395,Elections and Voting,Derived from LIS bill description
HB2399,Family and Children,Derived from LIS bill description
HB2400,Education,Derived from LIS bill description
HB2401,Labor and Employment,Derived from LIS bill description
HB2402,Elections and Voting,Derived from LIS bill description
HB2403,Education,Derived from LIS bill description
HB2404,Taxes and Revenue,Derived from LIS bill description
HB2408,Taxes and Revenue,Derived from LIS bill description
HB2409,Agriculture and Food,Derived from LIS bill description
HB2410,Taxes and Revenue,Derived from LIS bill description
HB2411,Technology and Data,Derived from LIS bill description
HB2412,Firearms,Derived from LIS bill description
HB2413,Energy and Utilities,Derived from LIS bill description
HB2414,Firearms,Derived from LIS bill description
HB2415,Housing,Derived from LIS bill description
HB2417,Budget and Appropriations,Derived from LIS bill description
HB2417,Business and Commerce,Derived from LIS bill description
HB2418,Education,Derived from LIS bill description
HB2418,Labor and Employment,Derived from LIS bill description
HB2420,Behavioral Health,Derived from LIS bill description
HB2422,Energy and Utilities,Derived from LIS bill description
HB2424,Family and Children,Derived from LIS bill description
HB2426,Energy and Utilities,Derived from LIS bill description
HB2430,Housing,Derived from LIS bill description
HB2431,Education,Derived from LIS bill description
HB2434,Elections and Voting,Derived from LIS bill description
HB2435,Public Safety,Derived from LIS bill description
HB2436,Energy and Utilities,Derived from LIS bill description
HB2437,Energy and Utilities,Derived from LIS bill description
HB2438,Energy and Utilities,Derived from LIS bill description
HB2439,Education,Derived from LIS bill description
HB2441,Firearms,Derived from LIS bill description
HB2442,Energy and Utilities,Derived from LIS bill description
HB2444,Elections and Voting,Derived from LIS bill description
HB2445,Elections and Voting,Derived from LIS bill description
HB2446,Education,Derived from LIS bill description
HB2449,Taxes and Revenue,Derived from LIS bill description
HB2451,Family and Children,Derived from LIS bill description
HB2452,Education,Derived from LIS bill description
HB2452,Higher Education,Derived from LIS bill description
HB2454,Education,Derived from LIS bill description
HB2455,Education,Derived from LIS bill description
