member_id,MBR_NAME,party,Subject_Id,Subject_Name,subject_vote_events,eligible_subject_events,party_break_events,cross_party_events,cross_party_pct,party_break_pct
H0371,Amy J. Laufer,D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0371,Amy J. Laufer,D,597,Children,2,2,0,0,0.0,0.0
H0371,Amy J. Laufer,D,721,Firearms,2,2,0,0,0.0,0.0
H0371,Amy J. Laufer,D,785,Human Rights,2,2,0,0,0.0,0.0
H0371,Amy J. Laufer,D,871,Marriage,2,2,0,0,0.0,0.0
H0372,Destiny LeVere Bolling,D,192,General Assembly,2,2,0,0,0.0,0.0
H0372,Destiny LeVere Bolling,D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0372,Destiny LeVere Bolling,D,594,Child Care,2,2,0,0,0.0,0.0
H0372,Destiny LeVere Bolling,D,636,Congressional Districts,2,2,0,0,0.0,0.0
H0372,Destiny LeVere Bolling,D,721,Firearms,2,2,0,0,0.0,0.0
H0372,Destiny LeVere Bolling,D,990,Reapportionment,2,2,0,0,0.0,0.0
H0374,Marty Martinez,D,1142,Wages,2,2,0,0,0.0,0.0
H0374,Marty Martinez,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0374,Marty Martinez,D,4,Administration of Government,2,2,0,0,0.0,0.0
H0374,Marty Martinez,D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0374,Marty Martinez,D,597,Children,2,2,0,0,0.0,0.0
H0374,Marty Martinez,D,721,Firearms,2,2,0,0,0.0,0.0
H0374,Marty Martinez,D,785,Human Rights,2,2,0,0,0.0,0.0
H0374,Marty Martinez,D,871,Marriage,2,2,0,0,0.0,0.0
H0375,Adele Y. McClure,D,1142,Wages,2,2,0,0,0.0,0.0
H0375,Adele Y. McClure,D,14460,Alcoholic Beverage and Cannabis Control,2,2,0,0,0.0,0.0
H0375,Adele Y. McClure,D,27,Arts and Humanities,2,2,0,0,0.0,0.0
H0375,Adele Y. McClure,D,299,Motor Vehicles,2,2,0,0,0.0,0.0
H0375,Adele Y. McClure,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0375,Adele Y. McClure,D,4,Administration of Government,2,2,0,0,0.0,0.0
