member_id,MBR_NAME,party,topic_name,classification,topic_status,comparable_topic_sample,robust_topic_sample,topic_vote_events_2025,topic_vote_events_2026,eligible_topic_events_2025,eligible_topic_events_2026,eligible_topic_event_change,cross_party_events_2025,cross_party_events_2026,cross_party_event_change,cross_party_pct_2025,cross_party_pct_2026,cross_party_pct_change,party_break_events_2025,party_break_events_2026,party_break_event_change,MBR_NAME_2025,MBR_NAME_2026,party_2025,party_2026
H0321,Chris S. Runion,R,Health and Healthcare,Derived from LIS bill description,Present both years,True,True,69.0,74.0,69.0,73.0,4.0,0.0,2.0,2.0,0.0,2.73972602739726,2.73972602739726,3.0,7.0,4.0,Chris S. Runion,Chris S. Runion,R,R
H0262,"James A. ""Jay"" Leftwich",R,Labor and Employment,Derived from LIS bill description,Present both years,True,True,85.0,110.0,84.0,110.0,26.0,0.0,3.0,3.0,0.0,2.727272727272727,2.727272727272727,4.0,6.0,2.0,"James A. ""Jay"" Leftwich","James A. ""Jay"" Leftwich",R,R
H0231,Tony O. Wilt,R,Health and Healthcare,Derived from LIS bill description,Present both years,True,True,72.0,76.0,71.0,75.0,4.0,0.0,2.0,2.0,0.0,2.666666666666667,2.666666666666667,1.0,6.0,5.0,Tony O. Wilt,Tony O. Wilt,R,R
H0238,M. Keith Hodges,R,Education,Derived from LIS bill description,Present both years,True,True,159.0,182.0,157.0,179.0,22.0,2.0,7.0,5.0,1.2738853503184715,3.910614525139665,2.6367291748211934,5.0,10.0,5.0,M. Keith Hodges,M. Keith Hodges,R,R
H0308,Joseph P. McNamara,R,Labor and Employment,Derived from LIS bill description,Present both years,True,True,107.0,117.0,106.0,115.0,9.0,1.0,4.0,3.0,0.9433962264150944,3.4782608695652173,2.534864643150123,3.0,6.0,3.0,Joseph P. McNamara,Joseph P. McNamara,R,R
H0267,"Robert S. Bloxom, Jr.",R,Health and Healthcare,Derived from LIS bill description,Present both years,True,True,74.0,79.0,74.0,79.0,5.0,0.0,2.0,2.0,0.0,2.5316455696202533,2.5316455696202533,0.0,2.0,2.0,"Robert S. Bloxom, Jr.","Robert S. Bloxom, Jr.",R,R
H0242,Israel D. O'Quinn,R,Education,Derived from LIS bill description,Present both years,True,True,137.0,155.0,134.0,153.0,19.0,1.0,5.0,4.0,0.7462686567164178,3.2679738562091507,2.521705199492733,5.0,6.0,1.0,Israel D. O'Quinn,Israel D. O'Quinn,R,R
H0340,Michelle Lopes Maldonado,D,Criminal Justice,Derived from LIS bill description,Present both years,True,True,103.0,121.0,103.0,120.0,17.0,0.0,3.0,3.0,0.0,2.5,2.5,0.0,3.0,3.0,Michelle Lopes Maldonado,Michelle Lopes Maldonado,D,D
H0301,David A. Reid,D,Health and Healthcare,Derived from LIS bill description,Present both years,True,True,73.0,82.0,73.0,80.0,7.0,0.0,2.0,2.0,0.0,2.5,2.5,0.0,2.0,2.0,David A. Reid,David A. Reid,D,D
H0056,Terry G. Kilgore,R,Health and Healthcare,Derived from LIS bill description,Present both years,True,True,81.0,92.0,76.0,92.0,16.0,0.0,2.0,2.0,0.0,2.1739130434782608,2.1739130434782608,2.0,5.0,3.0,Terry G. Kilgore,Terry G. Kilgore,R,R
H0266,Sam Rasoul,D,Energy and Utilities,Derived from LIS bill description,Present both years,True,True,82.0,140.0,80.0,139.0,59.0,0.0,3.0,3.0,0.0,2.158273381294964,2.158273381294964,0.0,3.0,3.0,Sam Rasoul,Sam Rasoul,D,D
H0328,Scott A. Wyatt,R,Elections and Voting,Derived from LIS bill description,Present both years,True,True,62.0,97.0,60.0,95.0,35.0,0.0,2.0,2.0,0.0,2.1052631578947367,2.1052631578947367,2.0,4.0,2.0,Scott A. Wyatt,Scott A. Wyatt,R,R
H0264,Marcus B. Simon,D,Transportation,Derived from LIS bill description,Present both years,True,True,57.0,95.0,55.0,95.0,40.0,0.0,2.0,2.0,0.0,2.1052631578947367,2.1052631578947367,3.0,3.0,0.0,Marcus B. Simon,Marcus B. Simon,D,D
H0354,Katrina Callsen,D,Taxes and Revenue,Derived from LIS bill description,Present both years,True,True,109.0,99.0,104.0,96.0,-8.0,0.0,2.0,2.0,0.0,2.083333333333333,2.083333333333333,0.0,3.0,3.0,Katrina Callsen,Katrina Callsen,D,D
H0343,Briana D. Sewell,D,Elections and Voting,Derived from LIS bill description,Present both years,True,True,59.0,96.0,57.0,96.0,39.0,0.0,2.0,2.0,0.0,2.083333333333333,2.083333333333333,0.0,2.0,2.0,Briana D. Sewell,Briana D. Sewell,D,D
